,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,18.0,8,307,130,3504,12.0,70,1,chevrolet chevelle malibu,,,,,
1,15.0,8,350,165,3693,11.5,70,1,buick skylark 320,,,,,
2,18.0,8,318,150,3436,11.0,70,1,plymouth satellite,,,,,
3,16.0,8,304,150,3433,12.0,70,1,amc rebel sst,,,,,
4,17.0,8,302,140,3449,10.5,70,1,ford torino,,,,,
5,15.0,8,429,198,4341,10.0,70,1,ford galaxie 500,,,,,
6,14.0,8,454,220,4354,9.0,70,1,chevrolet impala,,,,,
7,14.0,8,440,215,4312,8.5,70,1,plymouth fury iii,,,,,
8,14.0,8,455,225,4425,10.0,70,1,pontiac catalina,,,,,
9,15.0,8,390,190,3850,8.5,70,1,amc ambassador dpl,,,,,
10,15.0,8,383,170,3563,10.0,70,1,dodge challenger se,,,,,
11,14.0,8,340,160,3609,8.0,70,1,plymouth 'cuda 340,,,,,
12,15.0,8,400,150,3761,9.5,70,1,chevrolet monte carlo,,,,,
13,14.0,8,455,225,3086,10.0,70,1,buick estate wagon (sw),,,,,
14,24.0,4,113,95,2372,15.0,70,3,toyota corona mark ii,,,,,
15,22.0,6,198,95,2833,15.5,70,1,plymouth duster,,,,,
16,18.0,6,199,97,2774,15.5,70,1,amc hornet,,,,,
17,21.0,6,200,85,2587,16.0,70,1,ford maverick,,,,,
18,27.0,4,97,88,2130,14.5,70,3,datsun pl510,,,,,
19,26.0,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,,,,,
20,25.0,4,110,87,2672,17.5,70,2,peugeot 504,,,,,
21,24.0,4,107,90,2430,14.5,70,2,audi 100 ls,,,,,
22,25.0,4,104,95,2375,17.5,70,2,saab 99e,,,,,
23,26.0,4,121,113,2234,12.5,70,2,bmw 2002,,,,,
24,21.0,6,199,90,2648,15.0,70,1,amc gremlin,,,,,
25,10.0,8,360,215,4615,14.0,70,1,ford f250,,,,,
26,10.0,8,307,200,4376,15.0,70,1,chevy c20,,,,,
27,11.0,8,318,210,4382,13.5,70,1,dodge d200,,,,,
28,9.0,8,304,193,4732,18.5,70,1,hi 1200d,,,,,
29,27.0,4,97,88,2130,14.5,71,3,datsun pl510,,,,,
30,28.0,4,140,90,2264,15.5,71,1,chevrolet vega 2300,,,,,
31,25.0,4,113,95,2228,14.0,71,3,toyota corona,,,,,
32,25.0,4,98,?,2046,19.0,71,1,ford pinto,,,,,
33,19.0,6,232,100,2634,13.0,71,1,amc gremlin,,,,,
34,16.0,6,225,105,3439,15.5,71,1,plymouth satellite custom,,,,,
35,17.0,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,,,,,
36,19.0,6,250,88,3302,15.5,71,1,ford torino 500,,,,,
37,18.0,6,232,100,3288,15.5,71,1,amc matador,,,,,
38,14.0,8,350,165,4209,12.0,71,1,chevrolet impala,,,,,
39,14.0,8,400,175,4464,11.5,71,1,pontiac catalina brougham,,,,,
40,14.0,8,351,153,4154,13.5,71,1,ford galaxie 500,,,,,
41,14.0,8,318,150,4096,13.0,71,1,plymouth fury iii,,,,,
42,12.0,8,383,180,4955,11.5,71,1,dodge monaco (sw),,,,,
43,13.0,8,400,170,4746,12.0,71,1,ford country squire (sw),,,,,
44,13.0,8,400,175,5140,12.0,71,1,pontiac safari (sw),,,,,
45,18.0,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),,,,,
46,22.0,4,140,72,2408,19.0,71,1,chevrolet vega (sw),,,,,
47,19.0,6,250,100,3282,15.0,71,1,pontiac firebird,,,,,
48,18.0,6,250,88,3139,14.5,71,1,ford mustang,,,,,
49,23.0,4,122,86,2220,14.0,71,1,mercury capri 2000,,,,,
50,28.0,4,116,90,2123,14.0,71,2,opel 1900,,,,,
51,30.0,4,79,70,2074,19.5,71,2,peugeot 304,,,,,
52,30.0,4,88,76,2065,14.5,71,2,fiat 124b,,,,,
53,31.0,4,71,65,1773,19.0,71,3,toyota corolla 1200,,,,,
54,35.0,4,72,69,1613,18.0,71,3,datsun 1200,,,,,
55,27.0,4,97,60,1834,19.0,71,2,volkswagen model 111,,,,,
56,26.0,4,91,70,1955,20.5,71,1,plymouth cricket,,,,,
57,24.0,4,113,95,2278,15.5,72,3,toyota corona hardtop,,,,,
58,25.0,4,98,80,2126,17.0,72,1,dodge colt hardtop,,,,,
59,23.0,4,97,54,2254,23.5,72,2,volkswagen type 3,,,,,
60,20.0,4,140,90,2408,19.5,72,1,chevrolet vega,,,,,
61,21.0,4,122,86,2226,16.5,72,1,ford pinto runabout,,,,,
62,13.0,8,350,165,4274,12.0,72,1,chevrolet impala,,,,,
63,14.0,8,400,175,4385,12.0,72,1,pontiac catalina,,,,,
64,15.0,8,318,150,4135,13.5,72,1,plymouth fury iii,,,,,
65,14.0,8,351,153,4129,13.0,72,1,ford galaxie 500,,,,,
66,17.0,8,304,150,3672,11.5,72,1,amc ambassador sst,,,,,
67,11.0,8,429,208,4633,11.0,72,1,mercury marquis,,,,,
68,13.0,8,350,155,4502,13.5,72,1,buick lesabre custom,,,,,
69,12.0,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,,,,,
70,13.0,8,400,190,4422,12.5,72,1,chrysler newport royal,,,,,
71,19.0,3,70,97,2330,13.5,72,3,mazda rx2 coupe,,,,,
72,15.0,8,304,150,3892,12.5,72,1,amc matador (sw),,,,,
73,13.0,8,307,130,4098,14.0,72,1,chevrolet chevelle concours (sw),,,,,
74,13.0,8,302,140,4294,16.0,72,1,ford gran torino (sw),,,,,
75,14.0,8,318,150,4077,14.0,72,1,plymouth satellite custom (sw),,,,,
76,18.0,4,121,112,2933,14.5,72,2,volvo 145e (sw),,,,,
77,22.0,4,121,76,2511,18.0,72,2,volkswagen 411 (sw),,,,,
