0,,,allowAccess,amount,amountPerShare,,beginBidTime,,borrowerId,borrowerLevel,,,,,currentIsRepaid,,,,displayLoanType,,,,finishedRatio,forbidComment,interest,,interestPerShare,,,,leftMonths,,,,loanId,loanType,,,,months,,nickName,,,,,,,oldLoan,openTime,,overDued,,,,picture,,principal,,productId,,readyTime,,,,repaidByGuarantor,,,,,,,,startTime,status,,surplusAmount,title,,,,,utmSource,,
0,,,False,31500,0,,1540452400000,,11106556,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742509,DEBX,,,,36,,ChenGC_06184955288.yx,,,,,,,False,1540438627000,,False,,1540456234000.0,False,,,0,,26,,1540452635000,,,,False,,,,,,,,1541057200000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,52500,0,,1540452399000,,11100065,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742493,DEBX,,,,36,,HuangC_15294945437.yx,,,,,,,False,1540437662000,,False,,1540456233000.0,False,,,0,,26,,1540452601000,,,,False,,,,,,,,1541057199000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
2,,,False,105000,0,,1540452397000,,11106083,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742462,DEBX,,,,36,,LiuSW_30124963020.yx,,,,,,,False,1540436409000,,False,,1540456232000.0,False,,,0,,26,,1540452616000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
3,,,False,21000,0,,1540452397000,,11023274,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742461,DEBX,,,,36,,CLC_20181019222212.bjhh,,,,,,,False,1540436403000,,False,,1540456231000.0,False,,,0,,26,,1540452637000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
4,,,False,105000,0,,1540452396000,,11095928,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742454,DEBX,,,,36,,HanQH_15224931330.yx,,,,,,,False,1540435832000,,False,,1540456230000.0,False,,,0,,26,,1540452638000,,,,False,,,,,,,,1541057196000,IN_PROGRESS,,0,扩大生产/经营,,,,,debx-yx,,
5,,,False,21000,0,,1540452396000,,11105606,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742453,DEBX,,,,36,,LuYQ_00154940674.yx,,,,,,,False,1540435803000,,False,,1540456229000.0,False,,,0,,26,,1540452632000,,,,False,,,,,,,,1541057196000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
6,,,False,42000,0,,1540452395000,,11105431,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742435,DEBX,,,,36,,LiuZJ_00324958605.yx,,,,,,,False,1540434603000,,False,,1540456228000.0,False,,,0,,26,,1540452642000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
7,,,False,21000,0,,1540452395000,,11099215,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742433,DEBX,,,,36,,MouCY_00244936031.yx,,,,,,,False,1540434542000,,False,,1540456227000.0,False,,,0,,26,,1540452631000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
8,,,False,28400,0,,1540452395000,,11104972,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742425,DEBX,,,,36,,HuangJS_28124928090.yx,,,,,,,False,1540432772000,,False,,1540456226000.0,False,,,0,,26,,1540452634000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
9,,,False,52500,0,,1540452395000,,11100132,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742421,DEBX,,,,36,,HuLJ_54884957943.yx,,,,,,,False,1540432323000,,False,,1540456225000.0,False,,,0,,26,,1540452608000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,扩大生产/经营,,,,,debx-yx,,
0,,,False,52500,0,,1540452394000,,11099728,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742407,DEBX,,,,36,,ZhangQM_38224957553.yx,,,,,,,False,1540431226000,,False,,1540456224000.0,False,,,0,,26,,1540452641000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,21000,0,,1540452394000,,11097461,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742406,DEBX,,,,36,,CaoLS_00334940010.yx,,,,,,,False,1540431220000,,False,,1540456223000.0,False,,,0,,26,,1540452620000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
2,,,False,105000,0,,1540452394000,,11096254,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742404,DEBX,,,,36,,ZhangXC_25114942671.yx,,,,,,,False,1540431203000,,False,,1540456222000.0,False,,,0,,26,,1540452620000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,扩大生产/经营,,,,,debx-yx,,
3,,,False,105000,0,,1540452393000,,11096820,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742395,DEBX,,,,36,,WangW_471X4948002.yx,,,,,,,False,1540431063000,,False,,1540456221000.0,False,,,0,,26,,1540452617000,,,,False,,,,,,,,1541057193000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
4,,,False,126000,0,,1540452394000,,11095825,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742403,DEBX,,,,36,,ChenBY_09264920419.yx,,,,,,,False,1540431198000,,False,,1540456221000.0,False,,,0,,26,,1540452620000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
5,,,False,21000,0,,1540452392000,,11099080,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741943,DEBX,,,,36,,LinGN_29974962145.yx,,,,,,,False,1540427046000,,False,,1540456219000.0,False,,,0,,26,,1540452637000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
6,,,False,21000,0,,1540452393000,,11053024,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742394,DEBX,,,,36,,XuHC_40974924402.yx,,,,,,,False,1540430795000,,False,,1540456219000.0,False,,,0,,26,,1540452612000,,,,False,,,,,,,,1541057193000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
7,,,False,150500,0,,1540452391000,,11095434,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741921,DEBX,,,,36,,ZhaoN_52404928954.yx,,,,,,,False,1540393112000,,False,,1540456218000.0,False,,,0,,26,,1540452620000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
8,,,False,105000,0,,1540452391000,,11098767,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741910,DEBX,,,,36,,ChenYQ_18184943190.yx,,,,,,,False,1540389633000,,False,,1540456216000.0,False,,,0,,26,,1540452605000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
9,,,False,71400,0,,1540452390000,,11100062,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741894,DEBX,,,,36,,ZhangWC_81164870147.yx,,,,,,,False,1540384653000,,False,,1540456215000.0,False,,,0,,26,,1540452626000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
0,,,False,84000,0,,1540452390000,,11091282,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741891,DEBX,,,,36,,ZhaoJ_00204938547.yx,,,,,,,False,1540383992000,,False,,1540456214000.0,False,,,0,,26,,1540452624000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,190000,0,,1540452390000,,11091412,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741890,DEBX,,,,36,,PengG_233X4941862.yx,,,,,,,False,1540383933000,,False,,1540456213000.0,False,,,0,,26,,1540452635000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
2,,,False,105000,0,,1540452390000,,11090756,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741887,DEBX,,,,36,,WangHW_27314944643.yx,,,,,,,False,1540382103000,,False,,1540456212000.0,False,,,0,,26,,1540452649000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
3,,,False,15800,0,,1540452390000,,11098575,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741885,DEBX,,,,36,,ZhouCJ_54244958057.yx,,,,,,,False,1540381897000,,False,,1540456211000.0,False,,,0,,26,,1540452607000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
4,,,False,52500,0,,1540452389000,,11077858,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741884,DEBX,,,,36,,WangYW_55744922787.yx,,,,,,,False,1540381892000,,False,,1540456210000.0,False,,,0,,26,,1540452640000,,,,False,,,,,,,,1541057189000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
5,,,False,94500,0,,1540452389000,,11097169,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741881,DEBX,,,,36,,XuSH_11504943948.yx,,,,,,,False,1540381503000,,False,,1540456209000.0,False,,,0,,26,,1540452600000,,,,False,,,,,,,,1541057189000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
6,,,False,103000,0,,1540453305000,,11048101,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,12,,,,2739331,DEBX,,,,12,,SGS_20181021223508.bjhh,,,,,,,False,1540258324000,,False,,1540456208000.0,False,,,0,,56,,1540453883000,,,,False,,,,,,,,1541058105000,IN_PROGRESS,,0,经营周转,,,,,debx-yx,,
7,,,False,21000,0,,1540452388000,,11095435,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741865,DEBX,,,,36,,ZhangJM_50994955998.yx,,,,,,,False,1540379287000,,False,,1540456208000.0,False,,,0,,26,,1540452620000,,,,False,,,,,,,,1541057188000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
8,,,False,73450,0,,1540452967000,,11034110,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2739312,DEBX,,,,36,,ZC_20181020194946.bjhh,,,,,,,False,1540258213000,,False,,1540456206000.0,False,,,0,,56,,1540453864000,,,,False,,,,,,,,1541057767000,IN_PROGRESS,,0,经营周转,,,,,debx-yx,,
9,,,False,84800,0,,1540452962000,,11037497,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,24,,,,2739226,DEBX,,,,24,,WY_20181021063918.bjhh,,,,,,,False,1540257650000,,False,,1540456204000.0,False,,,0,,56,,1540453878000,,,,False,,,,,,,,1541057762000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
0,,,False,69000,0,,1540452903000,,10928321,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2739112,DEBX,,,,36,,LY_20181015152617.bjhh,,,,,,,False,1540255473000,,False,,1540456201000.0,False,,,0,,56,,1540453878000,,,,False,,,,,,,,1541057703000,IN_PROGRESS,,0,旅游,,,,,debx-yx,,
1,,,False,21000,0,,1540452395000,,11105697,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742432,DEBX,,,,36,,TangL_71434946411.yx,,,,,,,False,1540434453000,,False,,1540455643000.0,False,,,0,,26,,1540452656000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
2,,,False,115500,0,,1540452395000,,10600714,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742436,DEBX,,,,36,,WHG_201809271716.bjhh,,,,,,,False,1540434723000,,False,,1540455640000.0,False,,,0,,26,,1540452665000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
3,,,False,105000,0,,1540452391000,,11097170,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741917,DEBX,,,,36,,ZhongHW_81174944376.yx,,,,,,,False,1540391643000,,False,,1540455638000.0,False,,,0,,26,,1540452670000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
